taste_balance,price_norm,health_score,fitness
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.003039632145348769,1.0,2.9969603678546513
1.0,0.0,0.9881477511269189,2.988147751126919
0.9879434033749079,0.0,1.0,2.987943403374908
1.0,0.014359853023495756,1.0,2.9856401469765044
0.9850430543411137,0.0,1.0,2.985043054341114
1.0,0.0,0.9827955459708458,2.9827955459708457
1.0,0.02076510340842034,1.0,2.9792348965915796
0.9790182280947857,0.0,1.0,2.9790182280947857
1.0,0.02313667182516025,1.0,2.97686332817484
1.0,0.0,0.9734591995936016,2.9734591995936017
0.9714634029236529,0.0,1.0,2.9714634029236526
0.9714465981124134,0.0,1.0,2.971446598112413
1.0,0.0,0.9605423386472277,2.960542338647228
1.0,0.0,0.9572985596678156,2.957298559667816
0.954863981626776,0.0,1.0,2.954863981626776
0.9496015115803482,0.0,1.0,2.9496015115803482
1.0,0.0,0.9456443030320556,2.9456443030320556
0.9397014860230691,0.0,1.0,2.9397014860230692
0.9267060574363094,0.0,1.0,2.9267060574363093
1.0,0.08216977067932321,1.0,2.9178302293206766
1.0,0.0,0.9121635101984273,2.912163510198427
0.9625992059621252,0.054919507848601605,1.0,2.907679698113524
1.0,0.0,0.9004747255913249,2.900474725591325
1.0,0.0,0.8977990008249216,2.8977990008249215
1.0,0.11401318567602649,1.0,2.8859868143239735
0.8823914446367479,0.0,1.0,2.882391444636748
0.8781586365631234,0.0,1.0,2.8781586365631235
0.8681286635439472,0.0,1.0,2.8681286635439474
1.0,0.0,0.8038645782909314,2.8038645782909315
